order_date,total_sales
2017-05-22,19877.96
2017-05-23,16498.795
2017-05-24,18513.035
2017-05-25,14026.39
2017-05-26,10537.48
2017-05-27,12160.27
2017-05-28,11061.615
2017-05-29,17770.815
2017-05-30,12823.92
2017-05-31,16460.79
2017-06-01,16051.22
2017-06-02,16483.704999999998
2017-06-03,11495.15
2017-06-04,11836.63
2017-06-05,17812.05
2017-06-06,15223.035
2017-06-07,14059.029999999999
2017-06-08,18697.41
2017-06-09,13735.64
2017-06-10,8988.369999999999
2017-06-11,14281.974999999999
2017-06-12,15730.32
2017-06-13,14737.67
2017-06-14,16174.109999999999
2017-06-15,12134.305
2017-06-16,11637.125
2017-06-17,9709.675
2017-06-18,11052.515
2017-06-19,20280.809999999998
2017-06-20,11154.824999999999
2017-06-21,4507.195
2017-06-22,9625.525
2017-06-23,12582.425
2017-06-24,8675.015
2017-06-25,13253.689999999999
2017-06-26,9053.01
2017-06-27,17621.665
2017-06-28,15065.195
2017-06-29,13024.449999999999
2017-06-30,12268.49
2017-07-01,11109.225
2017-07-02,11987.045
2017-07-03,14832.599999999999
2017-07-04,14540.33
2017-07-05,18563.739999999998
2017-07-06,19993.2
2017-07-07,14291.09
2017-07-08,11633.475
2017-07-09,9152.675
2017-07-10,18843.09
2017-07-11,20163.21
2017-07-12,19244.23
2017-07-13,17224.69
2017-07-14,18643.905
2017-07-15,11514.565
2017-07-16,14256.22
2017-07-17,22296.114999999998
2017-07-18,25355.88
2017-07-19,18841.47
2017-07-20,19772.239999999998
2017-07-21,13696.295
2017-07-22,12025.175
2017-07-23,11973.414999999999
2017-07-24,19506.905
2017-07-25,17871.36
2017-07-26,12780.56
2017-07-27,15305.67
2017-07-28,18265.44
2017-07-29,15504.974999999999
2017-07-30,13188.71
2017-07-31,17499.94
2017-08-01,21294.92
2017-08-02,18325.565
2017-08-03,18371.8
2017-08-04,18383.01
2017-08-05,12417.025
2017-08-06,13412.0
2017-08-07,21769.614999999998
2017-08-08,20118.7
2017-08-09,19048.364999999998
2017-08-10,20582.399999999998
2017-08-11,18530.76
2017-08-12,12009.305
2017-08-13,11522.38
2017-08-14,18609.204999999998
2017-08-15,24011.295
2017-08-16,20472.885
2017-08-17,18428.495
2017-08-18,16593.645
2017-08-19,13003.689999999999
2017-08-20,12164.085
2017-08-21,22824.735
2017-08-22,16865.114999999998
2017-08-23,17437.0
2017-08-24,14556.154999999999
2017-08-25,14822.3
2017-08-26,10390.49
2017-08-27,13361.41
2017-08-28,19007.3
2017-08-29,20624.414999999997
2017-08-30,23859.899999999998
2017-08-31,19530.16
2017-09-01,21602.375
2017-09-02,13405.474999999999
2017-09-03,21047.624999999996
2017-09-04,20831.815
2017-09-05,20292.625
2017-09-06,19448.024999999998
2017-09-07,13205.029999999999
2017-09-08,13539.25
2017-09-09,13416.724999999999
2017-09-10,17653.45
2017-09-11,21911.105
2017-09-12,29341.085
2017-09-13,25395.77
2017-09-14,22412.46
2017-09-15,18115.289999999997
2017-09-16,17082.305
2017-09-17,17777.53
2017-09-18,25864.89
2017-09-19,20373.825
2017-09-20,22545.62
2017-09-21,19022.51
2017-09-22,16940.905
2017-09-23,10673.425
2017-09-24,14574.609999999999
2017-09-25,17266.77
2017-09-26,21988.02
2017-09-27,20191.625
2017-09-28,21104.269999999997
2017-09-29,17312.065
2017-09-30,11586.32
2017-10-01,16314.984999999999
2017-10-02,20206.26
2017-10-03,23596.065
2017-10-04,19397.5
2017-10-05,20532.87
2017-10-06,16748.765
2017-10-07,13798.744999999999
2017-10-08,17117.035
2017-10-09,26460.934999999998
2017-10-10,23102.324999999997
2017-10-11,19092.035
2017-10-12,19440.63
2017-10-13,21085.64
2017-10-14,13771.795
2017-10-15,16237.529999999999
2017-10-16,27521.295
2017-10-17,28012.989999999998
2017-10-18,26404.274999999998
2017-10-19,23051.364999999998
2017-10-20,17538.285
2017-10-21,14462.295
2017-10-22,19356.505
2017-10-23,20564.92
2017-10-24,22328.66
2017-10-25,19019.225
2017-10-26,19360.274999999998
2017-10-27,17728.969999999998
2017-10-28,12154.884999999998
2017-10-29,16948.575
2017-10-30,18846.809999999998
2017-10-31,20286.204999999998
2017-11-01,17113.215
2017-11-02,18260.635
2017-11-03,20712.425
2017-11-04,16762.125
2017-11-05,16908.31
2017-11-06,25193.895
2017-11-07,19276.879999999997
2017-11-08,20085.895
2017-11-09,23645.03
2017-11-10,20561.79
2017-11-11,20120.375
2017-11-12,21280.309999999998
2017-11-13,25703.485
2017-11-14,24425.925
2017-11-15,23493.175
2017-11-16,26845.815
2017-11-17,27294.17
2017-11-18,22352.75
2017-11-19,20257.39
2017-11-20,34124.399999999994
2017-11-21,30448.399999999998
